trait,feature,coefficient,std_error,t_statistic,p_value,ci_lower,ci_upper,significance
extraversion,sex_Male,0.0173405946738162,0.033197663126817656,0.5223438350938673,0.6014932576719974,-0.04776806579811273,0.08244925514574512,
extraversion,race_Asian,-0.6615484486412604,0.07531224275761692,-8.784075794560676,3.5094462390141105e-18,-0.8092540032266388,-0.513842894055882,***
extraversion,race_Black,0.036440025899486035,0.07332514388128765,0.4969649423188574,0.6192726018691108,-0.10736834635806275,0.1802483981570348,
extraversion,race_Hispanic,0.1064348891961606,0.07801685691429541,1.3642550264884872,0.1726526251840029,-0.046575069020342655,0.2594448474126639,
extraversion,race_White,0.040332883006989666,0.08538088716408246,0.4723877245440086,0.6367055725847487,-0.12711972267559626,0.2077854886895756,
extraversion,religion_Agnostic,-0.2871242058198151,0.07639946379772641,-3.758196609599238,0.00017642937985009195,-0.43696206427513795,-0.13728634736449227,***
extraversion,religion_Atheist,-0.3078730087018802,0.0768654946367202,-4.00534739491292,6.436753648749934e-05,-0.4586248665417255,-0.15712115086203493,***
extraversion,religion_Buddhist,-0.8487641935339739,0.07460502860242288,-11.376769226336163,4.8736151270905054e-29,-0.9950827298182275,-0.7024456572497203,***
extraversion,religion_Hindu,-0.10549378628083737,0.07942730861097803,-1.328180296244566,0.18428176374388563,-0.26126998199666573,0.050282409434990974,
extraversion,religion_Jewish,0.10817622289348615,0.07304960916271931,1.4808597079899726,0.1388136035333575,-0.03509175902481003,0.2514442048117823,
extraversion,religion_Mormon,0.10959920539004057,0.07672531350209341,1.4284621383404346,0.15332705103641078,-0.04087772328192567,0.2600761340620068,
extraversion,religion_Muslim,-0.2585472652108732,0.0804945921607253,-3.21198304470723,0.0013407866786805031,-0.41641666254762033,-0.10067786787412605,**
extraversion,religion_Nothing in particular,-0.25318080199051485,0.08257706954204388,-3.065994027090154,0.00220074720035033,-0.4151344420115374,-0.09122716196949235,**
extraversion,religion_Orthodox,-0.230530154085428,0.07518226448104404,-3.066283726310909,0.0021986267104703535,-0.3779807897795042,-0.08307951839135178,**
extraversion,religion_Protestant,-0.13917742907558592,0.07500492484754015,-1.8555772085431315,0.06367219102432595,-0.2862802587827795,0.007925400631607654,
extraversion,religion_Roman Catholic,-0.27721190844768706,0.08293108804079237,-3.3426778183753156,0.0008462189050144772,-0.4398598645158285,-0.11456395237954567,***
extraversion,political_views_Conservative,-0.3214257512424333,0.023834742273243795,-13.485597937564306,1.3041418398181124e-39,-0.3681714554860236,-0.27468004699884296,***
extraversion,political_views_Moderate,-0.3337299495797271,0.02347242397244189,-14.21795848488197,1.264311951605925e-43,-0.3797650598535081,-0.28769483930594614,***
extraversion,political_views_Very conservative,-0.37027950166819595,0.023637051172049242,-15.665215553877998,4.8194189201260234e-52,-0.416637485766039,-0.3239215175703529,***
extraversion,political_views_Very liberal,0.04266430623794524,0.02315004813402788,1.842946761533237,0.0654960745378975,-0.0027385469119692446,0.08806715938785972,
extraversion,political_party_Democrat,0.0386681811703132,0.020823544091924478,1.8569452442684335,0.06347718663363403,-0.002171833891111981,0.07950819623173838,
extraversion,political_party_Independent,-0.0827479760766792,0.020909933929840904,-3.957352345269166,7.863728474668195e-05,-0.1237574225406594,-0.04173852961269901,***
extraversion,political_party_Republican,0.18090160946647804,0.020598278458527696,8.782365469556254,3.561078555034364e-18,0.14050339488916516,0.22129982404379092,***
