trait,r_squared,adj_r_squared,f_statistic,f_pvalue,n_observations,n_features,n_significant
extraversion,0.07666392460407812,0.00602075504253663,1.0852277025493833,0.2999563846495516,1000,71,3
agreeableness,0.08245316728245733,0.012252924693076261,1.1745424836313871,0.16005444028343205,1000,71,9
neuroticism,0.05457295288655173,-0.01776036645079193,0.7544649324336671,0.9336002410487954,1000,71,0
agency,0.06484852445951006,-0.006698625069988751,0.9063746758041455,0.6936416447218912,1000,71,1
social_desirability,0.06896360811742974,-0.0022687020373790556,0.9681506603892479,0.5536831145848186,1000,71,0
