trait,feature,coefficient,std_error,t_statistic,p_value,ci_lower,ci_upper,significance
extraversion,sex_Female,-0.1638662156803795,0.025434810646647814,-6.44259624956069,1.8407101071401454e-10,-0.21377936250083704,-0.11395306885992199,***
extraversion,religion_Agnostic,-0.10108290349712215,0.061291119906439095,-1.6492259180681512,0.09942282483756923,-0.2213602945569826,0.01919448756273831,
extraversion,religion_Atheist,0.08039398547517476,0.06072375394867333,1.3239297679640765,0.1858360377160383,-0.0387700094307173,0.1995579803810668,
extraversion,religion_Buddhist,-0.4004966839851099,0.059698158901021176,-6.708694059545933,3.320393164199255e-11,-0.5176480562336934,-0.2833453117365264,***
extraversion,religion_Jewish,0.03525721409522388,0.059503309281920075,0.592525264908866,0.5536360156097977,-0.08151178622296804,0.1520262144134158,
extraversion,religion_Mormon,0.39438805767373963,0.06184244555612864,6.377303713123542,2.7762854955982246e-10,0.2730287478812754,0.5157473674662039,***
extraversion,religion_Muslim,-0.007786730992058399,0.059569233899667486,-0.13071732641674724,0.8960258352311952,-0.12468510145459391,0.10911163947047711,
extraversion,religion_Nothing in particular,0.07665664645107184,0.059244953903765885,1.2938932584130036,0.19600807761287603,-0.03960535854874271,0.19291865145088638,
extraversion,religion_Orthodox,-0.1302839273179182,0.06302918558254707,-2.0670412621354597,0.038993204822927036,-0.253972089878317,-0.00659576475751944,*
extraversion,religion_Other,-0.02320978105690885,0.058535418971948486,-0.39650832717250234,0.6918166525652536,-0.13807939821008092,0.09165983609626323,
extraversion,religion_Protestant,0.018248605477105398,0.06164492431723831,0.29602770510665355,0.7672718322925389,-0.10272308961148484,0.13922030056569562,
extraversion,religion_Roman Catholic,-0.06603237657113145,0.06084742919583871,-1.085212266874988,0.27809535196955903,-0.1854390711713747,0.0533743180291118,
extraversion,Region_North East India,-0.2111956548416538,0.030695810797437478,-6.8802761469745795,1.0658311884352914e-11,-0.2714329623801477,-0.15095834730315996,***
extraversion,Region_South India,-0.19467158850748595,0.031014091129266747,-6.276875491727121,5.186505721563148e-10,-0.2555334877975505,-0.13380968921742142,***
extraversion,Education_Associate’s degree,0.25261504599721335,0.045891835184869986,5.50457494191685,4.7291631277809114e-08,0.16255713523605952,0.3426729567583672,***
extraversion,Education_College graduate/some postgrad,0.6065752642512808,0.04482117468206453,13.533229964497242,2.2596706577400683e-38,0.5186184123741033,0.6945321161284583,***
extraversion,Education_Less than high school,-0.1737708490040898,0.04390978527184419,-3.9574515777811157,8.123705045248625e-05,-0.2599391948029281,-0.0876025032052515,***
extraversion,Education_Postgraduate,0.5305373701862102,0.043783264308266484,12.117355308430994,1.3870918783587916e-31,0.444617308501559,0.6164574318708613,***
extraversion,"Education_Some college, no degree",0.18522650279927472,0.04369673250631647,4.238909689013927,2.4589623100328503e-05,0.09947625069549176,0.27097675490305767,***
extraversion,Caste_OBC,-0.02480434702262732,0.03615356058641667,-0.6860831027510638,0.4928234825307598,-0.09575191579762629,0.04614322175237165,
extraversion,Caste_SC,-0.2640231670243758,0.036426781058896636,-7.2480510039437736,8.58133389764804e-13,-0.3355069023054558,-0.19253943174329574,***
extraversion,Caste_ST,-0.21342716696822314,0.035719818797855504,-5.9750349848089535,3.219517252959321e-09,-0.28352356299908865,-0.1433307709373576,***
agreeableness,sex_Female,0.14865781297449734,0.011810448505469555,12.586974398614261,8.894949898967133e-34,0.1254810471452362,0.1718345788037585,***
agreeableness,religion_Agnostic,-0.4757389872297369,0.028460035561261875,-16.71603628905105,2.3276238830750916e-55,-0.5315888204846161,-0.4198891539748577,***
agreeableness,religion_Atheist,-0.738816779725479,0.028196583769894517,-26.202350815076876,4.833120043617019e-115,-0.7941496164858565,-0.6834839429651015,***
agreeableness,religion_Buddhist,0.16564442996859063,0.027720357008624845,5.975551827022012,3.2096851529451873e-09,0.11124613825300658,0.22004272168417469,***
agreeableness,religion_Jewish,-0.13679602169842603,0.02762988016471694,-4.951017553565545,8.693349712876799e-07,-0.1910167621022836,-0.08257528129456845,***
agreeableness,religion_Mormon,0.18156053308837644,0.0287160391653721,6.322617546340284,3.9059237256687457e-10,0.12520831962489115,0.23791274655186173,***
agreeableness,religion_Muslim,0.08574878949439692,0.027660491727506425,3.100045738128572,0.0019903256938746294,0.031467977110875664,0.1400296018779182,**
agreeableness,religion_Nothing in particular,-0.44323759908454596,0.027509914935480866,-16.11192183342163,5.684976365426308e-52,-0.4972229203149174,-0.38925227785417454,***
agreeableness,religion_Orthodox,0.04187943807644806,0.0292670922935479,1.4309394885012416,0.15276732464128434,-0.015554159324768106,0.09931303547766424,
agreeableness,religion_Other,-0.20979762467138477,0.027180448131442925,-7.718696309082792,2.8974330845385135e-14,-0.26313640187236004,-0.1564588474704095,***
agreeableness,religion_Protestant,0.03746281567157474,0.028624321776433787,1.3087756616269464,0.19091811703177747,-0.018709412040742,0.09363504338389148,
agreeableness,religion_Roman Catholic,0.07717231559524981,0.028254011370136563,2.7313755411317655,0.006420695472503457,0.021726783195724512,0.1326178479947751,**
agreeableness,Region_North East India,0.028922385921592072,0.01425335135351407,2.029163893056032,0.04271230598104023,0.0009516796059436117,0.05689309223724053,*
agreeableness,Region_South India,0.05856668118004306,0.014401142250076878,4.066808046405514,5.149886726565366e-05,0.030305950738744633,0.08682741162134149,***
agreeableness,Education_Associate’s degree,0.0021181506640166534,0.02130950231170037,0.09939934931533545,0.9208415903267645,-0.03969951144997122,0.04393581277800453,
agreeableness,Education_College graduate/some postgrad,-0.03040793070407044,0.020812349770999602,-1.461052261693273,0.14432261983617825,-0.07124998312703702,0.010434121718896142,
agreeableness,Education_Less than high school,0.08612526935482637,0.020389153473320216,4.224072836938705,2.6235350428751242e-05,0.04611369525675854,0.1261368434528942,***
agreeableness,Education_Postgraduate,-0.008048107795534526,0.020330404487689618,-0.3958656012184993,0.6922906088575621,-0.0479443931742928,0.031848177583223745,
