trait,feature,coefficient,std_error,t_statistic,p_value,ci_lower,ci_upper,significance
extraversion,sex_Female,0.1658846456941901,0.04111153023129036,4.034990786305827,5.8173647898678427e-05,0.08522351019119503,0.24654578119718515,***
extraversion,race_Asian,-0.5181319216671001,0.1166214495083768,-4.44285269863571,9.72468389291008e-06,-0.7469440940291802,-0.28931974930502,***
extraversion,race_Black,-0.07533662399560212,0.11338042489023738,-0.6644588258381892,0.5065285245181134,-0.29778988136664364,0.14711663337543943,
extraversion,race_Hispanic,0.2277927122595319,0.10119428490708732,2.251043252775415,0.02456908593759519,0.02924875436990937,0.42633667014915444,*
extraversion,race_Other,-0.05601799145212952,0.09983573466445797,-0.5611016099636337,0.5748364538972726,-0.25189646341622574,0.13986048051196673,
extraversion,religion_Agnostic,0.0011356214993446362,0.10244063781785297,0.011085654321714156,0.9911570116279074,-0.19985369029596406,0.2021249332946533,
extraversion,religion_Atheist,-0.06391703575966878,0.09934065165196494,-0.6434126885295554,0.5200833060549278,-0.25882415108169243,0.1309900795623549,
extraversion,religion_Buddhist,-0.674750941015297,0.0945312804048208,-7.1378588984063605,1.6661194549698514e-12,-0.8602220333124505,-0.48927984871814345,***
extraversion,religion_Hindu,-0.13214034970385163,0.09364223220837957,-1.4111191776142544,0.15847715048152286,-0.3158671226667844,0.051586423259081166,
extraversion,religion_Jewish,0.13807190775552794,0.09476323397754295,1.4570197951269614,0.14538108348570666,-0.0478542792183376,0.32399809472939345,
extraversion,religion_Mormon,0.14020156700725522,0.12048540393838582,1.1636394320340406,0.2448090440697997,-0.0961917133822546,0.3765948473967651,
extraversion,religion_Muslim,-0.10310646273120656,0.09917889053129553,-1.0396008886454695,0.2987416271123616,-0.29769620150217446,0.09148327603976135,
extraversion,religion_Nothing in particular,0.08295851388548352,0.09349329603293993,0.8873204540382793,0.37509001105281825,-0.10047604516663523,0.2663930729376023,
extraversion,religion_Orthodox,-0.13515290597832313,0.09941339202775647,-1.3595040187401322,0.1742506820042147,-0.3302027384717887,0.05989692651514247,
extraversion,religion_Other,-0.03156024127704096,0.10403624217243806,-0.3033581434509185,0.7616712439715991,-0.23568014097142037,0.17255965841733845,
extraversion,religion_Roman Catholic,-0.10537270770623643,0.09172352297531883,-1.148807898870068,0.2508716204717036,-0.285334958537104,0.07458954312463116,
extraversion,political_views_Conservative,0.011321010634799905,0.02954447032873066,0.38318543229359353,0.701652366913358,-0.04664546522107005,0.06928748649066986,
extraversion,political_views_Liberal,0.33447050716342597,0.029696589505921748,11.262926576020783,5.319035341261114e-28,0.2762055723230574,0.3927354420037945,***
extraversion,political_views_Very conservative,-0.038369882494125374,0.02912053654394135,-1.3176227861127232,0.18788967589219652,-0.09550459703469498,0.018764832046444233,
extraversion,political_views_Very liberal,0.383210457139356,0.028935446414195556,13.243633834221933,2.1678300645670487e-37,0.3264388908433713,0.43998202343534065,***
extraversion,political_party_Democrat,0.13042026183297872,0.026815022729175582,4.863701334516394,1.3103480394886693e-06,0.07780898296047162,0.18303154070548583,***
extraversion,political_party_Republican,0.27400268978945,0.02641264592360856,10.37392052965571,3.563353324446676e-24,0.22218087727478725,0.3258245023041128,***
extraversion,political_party_Something else,0.08570588846105104,0.02625134655331031,3.2648187508020796,0.0011272801448599557,0.03420054653969818,0.1372112303824039,**
extraversion,sex_Female__x__race_Asian,-0.11607420740654648,0.057409535164761084,-2.02186286778707,0.04341933392599745,-0.22871215274783352,-0.003436262065259446,*
extraversion,sex_Female__x__race_Black,-0.08770112649093602,0.05845120306337521,-1.500416105992666,0.13377829969376484,-0.2023828321847697,0.02698057920289766,
extraversion,sex_Female__x__race_Hispanic,-0.1072776979331509,0.059534052487157346,-1.8019552416038331,0.07181153942474483,-0.22408396244563328,0.009528566579331502,
extraversion,sex_Female__x__race_Other,-0.1628120082723964,0.058681104199376104,-2.774521892417413,0.005616867105252026,-0.2779447817464594,-0.047679234798333345,**
extraversion,race_Asian__x__religion_Agnostic,0.07731835709442174,0.15172164208026015,0.5096066456591647,0.610423833477002,-0.22036066048829756,0.37499737467714106,
extraversion,race_Asian__x__religion_Atheist,0.0970845590962835,0.15270217151762494,0.6357772003594458,0.5250468406041835,-0.20251826471225615,0.39668738290482314,
extraversion,race_Asian__x__religion_Buddhist,0.3733493746073487,0.1486858894980593,2.5109939878472582,0.012174054140005695,0.08162652671738624,0.6650722224973111,*
extraversion,race_Asian__x__religion_Hindu,0.3714370198694537,0.14500710614124285,2.561509085683421,0.010547177573845498,0.0869319729506769,0.6559420667882305,*
extraversion,race_Asian__x__religion_Jewish,0.34198315952905095,0.15483644246975808,2.20867357886917,0.027391962999389893,0.0381928798534687,0.6457734392046333,*
extraversion,race_Asian__x__religion_Mormon,0.26510907708343373,0.16256345790195637,1.6308036289639192,0.10320275083980152,-0.053841665734819466,0.5840598199016869,
extraversion,race_Asian__x__religion_Muslim,0.17276226223178326,0.14656966015788503,1.1787041195680166,0.23875731880877316,-0.11480852757124155,0.46033305203480807,
extraversion,race_Asian__x__religion_Nothing in particular,-0.11004912331200116,0.14776586717263623,-0.7447533413344352,0.4565714390591449,-0.3999668803907184,0.17986863376671608,
